country_code,name,type,gender,population
HU,Stella Cintia,firstname,F,2
HU,Petek,lastname,U,18
SK,Mareckovej,lastname,,
PL,Żerutowski,lastname,M,1
PL,Tylenda,lastname,,475
PL,Paryszek,lastname,,15
PL,Lentowski,lastname,M,16
CZ,Mollnhuber,lastname,M,4
PL,Makrewicz,lastname,,
HU,Erik Imre,firstname,M,24
HU,Botond Vajk,firstname,M,1
PL,Aleksieiuk,lastname,,2
PL,Fulbiszewska,lastname,F,175
PL,Wilek,lastname,,1
CZ,Natalie Teresa,firstname,,1
PL,Rypiewicz,lastname,,
CZ,Jesussek Čvančarová,lastname,F,1
PL,Koterbicka,lastname,F,91
PL,Maliesz,lastname,,
CZ,Petr Boris,firstname,,1
PL,Goryca,lastname,,123
PL,Szusłaczyńska,lastname,F,1
CZ,Stena,lastname,M,3
HU,Tamásné Moldován,lastname,F,3
SK,Šimlaštík,lastname,,10
PL,Prędota,lastname,,403
HU,Zsigmond Boldizsár,firstname,M,1
HU,Zárai,lastname,U,36
CZ,Tasková,lastname,F,30
PL,Tomczewski,lastname,M,478
CZ,Nikolič,lastname,M,27
HU,Pavkov,lastname,U,
SK,Jurij,firstname,M,
PL,Somczyk,lastname,,
PL,Spot-Gliszczyński,lastname,M,30
CZ,Fabienne-Denise,firstname,,1
PL,Reszpant,lastname,,6
PL,Paprawa,lastname,,1
HU,Vincefi,lastname,U,9
CZ,Luchava,lastname,M,1
PL,Beserman,lastname,,7
SK,Langa,lastname,,8
PL,Sołudczyk,lastname,,
CZ,Protivný,lastname,M,28
PL,Latocka,lastname,F,7
PL,Kwecik,lastname,,6
PL,Kilchowski,lastname,M,1
SK,Buzinkaiová,lastname,,27
PL,Glosek,lastname,,
CZ,Lada Michaela,firstname,,1
PL,Stannek,lastname,,28
PL,Szarsta,lastname,,1
SK,Mnislava,firstname,F,
PL,Kuedler,lastname,,1
CZ,Piroháčová,lastname,F,3
SK,Dzadík,lastname,,29
PL,Maliszowska,lastname,F,12
SK,Gernicová,lastname,,2
PL,Klępek,lastname,,
HU,Janka Luca,firstname,F,10
PL,Elijów,lastname,,
PL,Truszyk,lastname,,
SK,Debora,firstname,F,
HU,Krisztandl,lastname,U,9
CZ,Kovárik,lastname,M,12
CZ,Jadviščák,lastname,M,3
SK,Madrová,lastname,,30
PL,Skowiniak,lastname,,15
PL,Składam,lastname,,
CZ,Bampaliarou,lastname,M,2
HU,Sarolta Réka,firstname,F,10
PL,Chwiejczuk,lastname,,1
CZ,Ihnatola,lastname,M,6
PL,Sygnowski,lastname,M,503
PL,Mikulicz,lastname,,254
PL,Kopyłczak,lastname,,
HU,Júlia Patrícia,firstname,F,1
CZ,Stanković,lastname,M,7
CZ,Džaliana,firstname,,2
PL,Brunka,lastname,,298
PL,Chułkowska,lastname,,2
HU,Phong Binh,firstname,,1
SK,Reznícky,lastname,,
HU,Dzsenifer Míra,firstname,F,1
PL,Roksana,lastname,,
HU,Jurák-Huszár,lastname,U,6
PL,Meske,lastname,,5
PL,Podziemska,lastname,F,175
PL,Pawłaszewska,lastname,,1
PL,Krazna,lastname,,1
PL,Pronczuk,lastname,,29
CZ,Callegher,lastname,M,1
PL,Suprysz,lastname,,
PL,Kydrymska,lastname,,1
PL,Matułowicz,lastname,,5
CZ,Czichos,lastname,M,2
PL,Wiesłona,lastname,,
HU,Tóvári,lastname,U,231
CZ,Costašafránková,lastname,F,1
PL,Nica,lastname,,118
CZ,El Tobgi,lastname,M,2
PL,Przybecki,lastname,M,360
SK,Sejkaničová,lastname,,11
HU,Elvira Szilvia,firstname,F,5
CZ,Otka,firstname,,3
HU,Planicska,lastname,U,69
CZ,Ivincová,lastname,F,5
PL,Koncza,lastname,F,1
PL,Wawarczyk,lastname,,19
PL,Kobrzycka,lastname,F,66
CZ,Alruna,firstname,,2
PL,Traciłowski,lastname,M,59
PL,Weltromski,lastname,M,1
PL,Kanabrocki,lastname,M,47
HU,Jakab Balázs,firstname,M,2
PL,Wosak,lastname,,30
HU,Angelika Izabella,firstname,F,3
HU,Kolmankó,lastname,U,21
CZ,Levička,lastname,M,21
PL,Talańska,lastname,,
PL,Patryca,lastname,F,90
CZ,Pobořilová,lastname,F,259
PL,Szypery,lastname,,1
CZ,Škopová Zrzavá,lastname,M,1
SK,Zahorjanová,lastname,,11
PL,Źbikowska,lastname,F,6
CZ,Vlosinská,lastname,M,6
CZ,Matragi,lastname,M,2
SK,Skoviera,lastname,,
PL,Domańczuk,lastname,,30
CZ,Vasmera,lastname,M,8
CZ,Woitha,lastname,M,2
PL,Oksza-Orzechowska,lastname,,3
PL,Staroniec,lastname,,1
CZ,Veiterová,lastname,F,1
PL,Żarywska,lastname,F,1
HU,Olívia Virgínia,firstname,F,1
